"Date","Time","Revision","Operator","Job Number","Panel","Samples","Atten","Grade","Layers",

"12/03/2024","11:32:12",3200805.00,"Jose           ","6x4dec032024   ","Point 012 / 172",0,17,"68             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,45.785, 48.899,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,12.843, 14.887,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,31.233, 38.159,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,12.250, 16.916,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:32:16",3200805.00,"Jose           ","6x4dec032024   ","Point 013 / 172",0,17,"66             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,38.405, 41.017,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,11.848, 13.733,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,33.881, 41.394,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,12.484, 17.239,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:32:34",3200805.00,"Jose           ","6x4dec032024   ","Point 014 / 172",0,17,"68             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,41.471, 44.291,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,14.396, 16.687,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,39.955, 48.816,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,11.820, 16.322,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:32:57",3200805.00,"Jose           ","6x4dec032024   ","Point 015 / 172",0,17,"65             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,49.451, 52.815,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,12.696, 14.716,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,32.560, 39.781,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,12.199, 16.846,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:33:04",3200805.00,"Jose           ","6x4dec032024   ","Point 016 / 172",0,17,"70             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,44.067, 47.064,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,12.306, 14.265,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,32.269, 39.426,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,12.136, 16.759,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:33:10",3200805.00,"Jose           ","6x4dec032024   ","Point 017 / 172",0,17,"65             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,40.607, 43.369,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,10.744, 12.453,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,32.269, 39.425,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.245, 18.289,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:34:05",3200805.00,"Jose           ","6x4dec032024   ","Point 018 / 172",0,17,"66             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,46.756, 49.936,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,15.158, 17.570,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,31.492, 38.476,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,12.102, 16.712,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:34:26",3200805.00,"Jose           ","6x4dec032024   ","Point 019 / 172",0,17,"56             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,53.409, 57.042,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,15.238, 17.663,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,34.373, 41.996,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,12.626, 17.434,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:34:32",3200805.00,"Jose           ","6x4dec032024   ","Point 020 / 172",0,17,"60             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,51.367, 54.861,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,13.951, 16.171,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,32.137, 39.264,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,12.486, 17.241,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:34:37",3200805.00,"Jose           ","6x4dec032024   ","Point 021 / 172",0,17,"70             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,46.367, 49.520,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,12.244, 14.193,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,32.892, 40.187,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.577, 18.749,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:34:43",3200805.00,"Jose           ","6x4dec032024   ","Point 022 / 172",0,17,"67             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,42.679, 45.582,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,10.723, 12.429,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,34.372, 41.995,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.077, 18.057,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
